年月,總編號,處理單位,處理編號,年,月,日,時,分,縣市,區,村里,鄰,街道,段,巷,弄,號,公尺處,街道.1,段.1,側,附近,道路,公里,公尺處.1,向,車道,平交道,公里.1,公尺處.2,附近.1,死,受傷,X2.30,天候,光線,道路類別,速限,道路型態,事故位置,路面鋪裝,路面狀態,路面缺陷,障礙物,視距,號誌種類,號誌動作,分向設施,快車道或一般車道間,快慢車道間,路面邊線,事故類型及型態,主要肇因,警局,分局,案件類別,事故類別,日期,道路1,道路2,概略位置,lon,lat,車種,當事者區分.類別.,年齡,受傷程度,車輛牌照號碼,車輛用途,駕駛資格情形,飲酒情形,車輛撞擊部位最初,肇事因素個別,肇事因素主要,職.業,旅次目的,國籍
10101,10101Y00030005,YYA1,10101YY000028,2012,1,15,14,44,金門縣,金沙鎮,,NA,環島北路,三,,NA,,,,,,何厝候車亭前路段,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,雨,日間自然光線,村里道路,60,直路,一般車道（未劃分快慢車道）,柏油,濕潤,無缺陷,無障礙物,良好,無號誌,無號誌,附標記,未繪設車道線,未繪設快慢車道分隔線,有,衝出路外,酒醉（後）駕駛失控,Y000,YY00,1,3,2012/1/15,環島北路三段,,金門縣金沙鎮何厝候車亭前路段,118.388325,24.466263,自用 小貨車(含客、貨兩用)∕ ∕,小貨車自用,27∕0∕,未受傷,K4****6代號18,其他,有適當之駕照,經呼氣檢測0.56至0.80mg∕L或血液檢測0.111至0.16,汽車右前車頭（身）,酒醉（後）駕駛失控∕尚未發現肇事因素∕,酒醉（後）駕駛失控∕酒醉（後）駕駛失控∕,保安工作者（不含警察人員）,其他,本國∕本國∕
10101,10101Y00020018,YYA1,10101YY000030,2012,1,17,17,42,金門縣,金湖鎮,,NA,瓊義路,,,NA,,,,,,瓊林246號前路段,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,0,晴,晨或暮光,村里道路,50,三岔路,交岔路口內,柏油,乾燥,無缺陷,其他障礙物,良好,無號誌,無號誌,無標記,未繪設車道線,未繪設快慢車道分隔線,有,穿越道路中,穿越道路未注意左右來車,Y000,YY00,1,2,2012/1/17,瓊義路,,金門縣金湖鎮瓊林246號前路段,118.3750744,24.4504136,行人 人∕自用 小客車∕,行人∕小客車自用∕,10∕32∕,受傷∕未受傷∕,∕09****2代號19∕,非駕駛人及乘客∕其他∕,非汽（機）車駕駛人∕有適當之駕照∕,經觀察未飲酒∕經檢測無酒精反應∕,非汽（機）車∕汽車前車頭∕,穿越道路未注意左右來車∕未注意車前狀態∕,穿越道路未注意左右來車∕穿越道路未注意左右來車∕,小學生∕技術員及助理人員∕,其他∕業務聯繫∕,本國∕本國∕
10101,10101Y00020019,YYA1,10101YY000031,2012,1,18,15,57,金門縣,金湖鎮,,NA,瓊徑路,,,NA,,,,,,小徑圓環,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,0,晴,日間自然光線,村里道路,50,圓環,其他,柏油,乾燥,無缺陷,無障礙物,良好,無號誌,無號誌,無分向設施,未繪設車道線,未繪設快慢車道分隔線,有,路上翻車、摔倒,未依規定減速,Y000,YY00,1,2,2012/1/18,瓊徑路,,金門縣金湖鎮小徑圓環,118.3837181,24.4489328,普通重型 機車∕ ∕,機車普通重型,25∕0∕,受傷,22****E代號20,其他,有適當之駕照,經檢測無酒精反應,機車右側車身,未依規定減速∕尚未發現肇事因素∕,未依規定減速∕未依規定減速∕,服務工作者,其他,本國∕本國∕
10101,10101Y00020022,YYA1,10101YY000034,2012,1,21,18,30,金門縣,金湖鎮,,NA,太湖路,一,,NA,,,,,,塔后20871號路口,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,0,晴,夜間（或隧道、地下道、涵洞）有照明,村里道路,50,三岔路,交岔路口內,柏油,乾燥,無缺陷,無障礙物,良好,無號誌,無號誌,附標記,未繪設車道線,未繪設快慢車道分隔線,有,倒車撞,倒車未依規定,Y000,YY00,1,2,2012/1/21,太湖路一段,,金門縣金湖鎮塔后20871號路口,118.4047483,24.4473343,自用 小客車∕普通重型 機車∕,小客車自用∕機車普通重型∕,33∕20∕,未受傷∕受傷∕,MP****8代號21∕31****U代號22∕,其他∕其他∕,有適當之駕照∕有適當之駕照∕,經檢測無酒精反應∕經檢測無酒精反應∕,不明∕機車左側車身∕,倒車未依規定∕未注意車前狀態∕,倒車未依規定∕倒車未依規定∕,技術工∕服務工作者∕,社交活動∕運輸∕,本國∕本國∕
10101,10101Y00030006,YYA1,10101YY000035,2012,1,23,9,36,金門縣,金湖鎮,,NA,太湖路,三,,NA,,,,,,三谿橋路口,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,晴,日間自然光線,村里道路,50,四岔路,交岔路口內,水泥,乾燥,無缺陷,無障礙物,其他,閃光號誌,正常,無分向設施,未繪設車道線,未繪設快慢車道分隔線,有,側撞,未依規定讓車,Y000,YY00,1,3,2012/1/23,太湖路三段,,金門縣金湖鎮三谿橋路口,118.4317691,24.4347503,自用 小客車∕自用 小客車∕,小客車自用∕小客車自用∕,48∕55∕,未受傷∕未受傷∕,6F****5代號23∕6F****6代號24∕,其他∕其他∕,有適當之駕照∕有適當之駕照∕,經檢測無酒精反應∕經檢測無酒精反應∕,汽車左前車頭（身）∕汽車前車頭∕,未依規定讓車∕未依規定減速∕,未依規定讓車∕未依規定讓車∕,事務工作者∕事務工作者∕,購物∕購物∕,本國∕本國∕
10101,10101Y00020023,YYA1,10101YY000037,2012,1,27,14,31,金門縣,金湖鎮,,NA,經武路,,,NA,,,瓊徑路,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,0,陰,日間自然光線,村里道路,50,四岔路,交岔路口內,柏油,乾燥,無缺陷,無障礙物,良好,行車管制號誌,正常,無分向設施,未繪設車道線,未繪設快慢車道分隔線,有,側撞,未依規定讓車,Y000,YY00,1,2,2012/1/27,經武路,瓊徑路,,118.3880485,24.44342822,自用 小客車∕普通重型 機車∕,小客車自用∕機車普通重型∕,21∕61∕,未受傷∕受傷∕,6F****2代號25∕PZ****2代號26∕,其他∕其他∕,有適當之駕照∕有適當之駕照∕,經檢測無酒精反應∕經檢測無酒精反應∕,汽車左側車身∕機車前車頭∕,未依規定讓車∕尚未發現肇事因素∕,未依規定讓車∕未依規定讓車∕,大學（研究）生∕無業者∕,觀光旅遊∕其他∕,本國∕本國∕
10101,10101Y00020024,YYA1,10101YY000038,2012,1,28,10,14,金門縣,金沙鎮,,NA,環島北路,三,,NA,,,,,,0710號路燈屠宰場及瓊徑路口間,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,0,晴,日間自然光線,村里道路,60,直路,一般車道（未劃分快慢車道）,柏油,乾燥,無缺陷,無障礙物,良好,無號誌,無號誌,無標記,未繪設車道線,未繪設快慢車道分隔線,有,同向擦撞,未保持行車安全間隔,Y000,YY00,1,2,2012/1/28,環島北路三段,,金門縣金沙鎮0710號路燈屠宰場及瓊徑路口間,118.388325,24.466263,自用 小貨車(含客、貨兩用)∕普通重型 機車∕,小貨車自用∕機車普通重型∕,58∕20∕,未受傷∕受傷∕,6F****0代號27∕55****V代號28∕,其他∕其他∕,有適當之駕照∕有適當之駕照∕,經檢測無酒精反應∕經檢測無酒精反應∕,汽車右側車身∕機車左側車身∕,未保持行車安全間隔∕尚未發現肇事因素∕,未保持行車安全間隔∕未保持行車安全間隔∕,服務工作者∕其他∕,其他∕其他∕,本國∕本國∕
10101,10101Y00020025,YYA1,10101YY000039,2012,1,30,8,30,金門縣,金湖鎮,新市里,NA,復興路,,,NA,1月10日,,,,,復興路110號前路口,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,2,0,晴,日間自然光線,村里道路,40,三岔路,交岔路口內,柏油,乾燥,無缺陷,無障礙物,良好,無號誌,無號誌,無分向設施,未繪設車道線,未繪設快慢車道分隔線,有,穿越道路中,未依規定行走行人穿越道、地下道、天橋而穿越道路,Y000,YY00,1,2,2012/1/30,復興路1-10號,,金門縣金湖鎮新市里復興路110號前路口,118.4161413,24.4412321,其他人 人∕普通重型 機車∕,其他人∕機車普通重型∕,56∕21∕,受傷∕受傷∕,∕96****U代號29∕,非駕駛人及乘客∕其他∕,非汽（機）車駕駛人∕有適當之駕照∕,經檢測無酒精反應∕經檢測無酒精反應∕,非汽（機）車∕機車前車頭∕,未依規定行走行人穿越道、地下道、天橋而穿越道路∕未注意車前狀態∕,未依規定行走行人穿越道、地下道、天橋而穿越道路∕未依規定行走行人穿越道、地下道、天橋而穿越道路∕,家庭主婦（夫）∕不明∕,其他∕其他∕,本國∕本國∕
10101,10101Y00020026,YYA1,10101YY000040,2012,1,30,12,15,金門縣,金湖鎮,新市里,NA,自強路,,,NA,,,中正路,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,0,晴,日間自然光線,村里道路,50,四岔路,交岔路口內,其他鋪裝,乾燥,無缺陷,無障礙物,良好,無號誌,無號誌,無分向設施,未繪設車道線,未繪設快慢車道分隔線,有,路口交岔撞,未依規定讓車,Y000,YY00,1,2,2012/1/30,自強路,中正路,,118.4156185,24.44089977,計程車 小客車∕普通重型 機車∕,小客車計程車∕機車普通重型∕,47∕63∕,未受傷∕受傷∕,56***Q代號30∕PZ****3代號31∕,其他∕其他∕,有適當之駕照∕有適當之駕照∕,經檢測無酒精反應∕經檢測無酒精反應∕,汽車右前車頭（身）∕機車左側車身∕,未依規定讓車∕未依規定減速∕,未依規定讓車∕未依規定讓車∕,汽車、火車駕駛員及船員∕其他∕,運輸∕其他∕,本國∕本國∕
10101,10101Y00030001,YZA1,10101YZ000002,2012,1,2,14,34,金門縣,金城鎮,,NA,西海路,二,,NA,,,,,,03717號燈桿前路口,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,晴,日間自然光線,縣道,50,三岔路,交岔路口內,柏油,乾燥,無缺陷,無障礙物,良好,無號誌,無號誌,附標記,未繪設車道線,未繪設快慢車道分隔線,有,側撞,未依規定讓車,Y000,YZ00,1,3,2012/1/2,西海路二段,,金門縣金城鎮03717號燈桿前路口,118.3041626,24.4144371,自用 小貨車(含客、貨兩用)∕自用 小貨車(含客、貨兩用)∕,小貨車自用∕小貨車自用∕,30∕22∕,未受傷∕未受傷∕,6F****6代號32∕43****P代號33∕,其他∕其他∕,有適當之駕照∕有適當之駕照∕,經檢測無酒精反應∕經檢測無酒精反應∕,汽車左側車身∕汽車前車頭∕,未依規定讓車∕超速失控∕,未依規定讓車∕未依規定讓車∕,技術工∕服務工作者∕,運輸∕運輸∕,本國∕本國∕
10101,10101Y00020003,YZA1,10101YZ000005,2012,1,3,18,40,金門縣,金城鎮,,NA,,,,NA,,,,,,民生民權路口,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,0,晴,夜間（或隧道、地下道、涵洞）有照明,村里道路,40,四岔路,行人穿越道,柏油,乾燥,無缺陷,無障礙物,良好,行車管制號誌,正常,無分向設施,未繪設車道線,未繪設快慢車道分隔線,有,穿越道路中,搶越行人穿越道,Y000,YZ00,1,2,2012/1/3,金門縣金城鎮民生民權路口,,金門縣金城鎮民生民權路口,118.318387,24.437086,自用 小客車∕行人 人∕,小客車自用∕行人∕,50∕54∕,未受傷∕受傷∕,6F****7代號34,其他∕非駕駛人及乘客∕,有適當之駕照∕非汽（機）車駕駛人∕,經檢測無酒精反應∕非駕駛人，未檢測∕,汽車前車頭∕非汽（機）車∕,搶越行人穿越道∕其他引起事故之疏失或行為∕,搶越行人穿越道∕搶越行人穿越道∕,不明∕不明∕,其他∕其他∕,本國∕本國∕
10101,10101Y00020027,YZA1,10101YZ000007,2012,1,4,16,0,金門縣,金寧鄉,,NA,環島西路,二,,NA,,,,,,光前廟前,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,0,晴,日間自然光線,鄉道,60,直路,穿越道附近,柏油,乾燥,無缺陷,無障礙物,路上停放車輛,無號誌,無號誌,無標記,未繪設車道線,未繪設快慢車道分隔線,有,穿越道路中,未依規定減速,Y000,YZ00,1,2,2012/1/4,環島西路二段,,金門縣金寧鄉光前廟前,118.3148723,24.4566699,自用 小貨車(含客、貨兩用)∕行人 人∕,小貨車自用∕行人∕,61∕13∕,未受傷∕受傷∕,24****S代號35,其他∕非駕駛人及乘客∕,有適當之駕照∕非汽（機）車駕駛人∕,經檢測無酒精反應∕非駕駛人，未檢測∕,汽車右前車頭（身）∕非汽（機）車∕,未依規定減速∕穿越道路未注意左右來車∕,未依規定減速∕未依規定減速∕,技術員及助理人員∕國中生∕,業務聯繫∕上、下學∕,本國∕本國∕
10101,10101Y00030002,YZA1,10101YZ000011,2012,1,6,0,25,金門縣,金城鎮,東門里,NA,民族路,,,NA,22,,,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,雨,夜間（或隧道、地下道、涵洞）有照明,村里道路,40,直路,一般車道（未劃分快慢車道）,柏油,濕潤,無缺陷,無障礙物,良好,無號誌,無號誌,無標記,車道線（無標記）,未繪設快慢車道分隔線,有,追撞,未注意車前狀態,Y000,YZ00,1,3,2012/1/6,民族路22號,,金門縣金城鎮東門里,118.3157499,24.4302723,自用 小客車∕自用 小客車∕,小客車自用∕小客車自用∕,37∕44∕,未受傷∕未受傷∕,29****S代號36∕5A****6代號37∕,其他∕其他∕,有適當之駕照∕有適當之駕照∕,經檢測無酒精反應∕不明∕,汽車前車頭∕汽車後車尾∕,未注意車前狀態∕違規停車或暫停不當而肇事∕,未注意車前狀態∕未注意車前狀態∕,技術工∕其他∕,其他∕其他∕,本國∕本國∕
10101,10101Y00020029,YZA1,10101YZ000012,2012,1,6,22,50,金門縣,金城鎮,,NA,,,,NA,,,,,,后豐港41號旁,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,0,陰,夜間（或隧道、地下道、涵洞）有照明,村里道路,40,巷弄,一般車道（未劃分快慢車道）,柏油,乾燥,無缺陷,無障礙物,良好,無號誌,無號誌,無分向設施,未繪設車道線,未繪設快慢車道分隔線,無,其他,酒醉（後）駕駛失控,Y000,YZ00,1,2,2012/1/6,金門縣金城鎮后豐港41號旁,,金門縣金城鎮后豐港41號旁,118.301926,24.418403,自用 小貨車(含客、貨兩用)∕ ∕,小貨車自用,55∕0∕,受傷,6F****2代號38,其他,有適當之駕照,經呼氣檢測超過0.80mg∕L或血液檢測超過0.16,汽車前車頭,酒醉（後）駕駛失控∕尚未發現肇事因素∕,酒醉（後）駕駛失控∕酒醉（後）駕駛失控∕,不明,不明,本國∕本國∕
10101,10101Y00020005,YZA1,10101YZ000013,2012,1,4,20,3,金門縣,金城鎮,,NA,光前路,,,NA,31,,,,,福德宮,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,0,陰,夜間（或隧道、地下道、涵洞）有照明,村里道路,40,三岔路,交岔路口內,其他鋪裝,乾燥,無缺陷,無障礙物,良好,無號誌,無號誌,無分向設施,未繪設車道線,未繪設快慢車道分隔線,無,撞橋樑、建築物,其他引起事故之違規或不當行為,Y000,YZ00,1,2,2012/1/4,光前路31號,,金門縣金城鎮福德宮,118.3142468,24.4339885,普通輕型 機車∕ ∕,機車普通輕型,17∕73∕,受傷,WZ****1代號39,其他,無照（未達考照年齡）,不明,機車前車頭,其他引起事故之違規或不當行為∕尚未發現肇事因素∕,其他引起事故之違規或不當行為∕其他引起事故之違規或不當行為∕,其他,其他,本國∕本國∕
10101,10101Y00020008,YZA1,10101YZ000015,2012,1,9,8,51,金門縣,金寧鄉,,NA,林湖路,,,NA,,,,,,僑美傢具行旁路段,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,0,晴,日間自然光線,村里道路,50,三岔路,交岔口附近,柏油,乾燥,無缺陷,無障礙物,良好,無號誌,無號誌,附標記,未繪設車道線,未繪設快慢車道分隔線,有,同向擦撞,逆向行駛,Y000,YZ00,1,2,2012/1/9,林湖路,,金門縣金寧鄉僑美傢具行旁路段,118.330303,24.4320985,自用 小客車∕自用 小客車∕ ,小客車自用∕小客車自用∕,64∕47∕47,受傷∕未受傷∕,KV****8代號40∕6F****6代號41∕,其他∕其他∕,有適當之駕照∕有適當之駕照∕,經檢測無酒精反應∕經檢測無酒精反應∕,汽車左前車頭（身）∕汽車前車頭∕,逆向行駛∕尚未發現肇事因素∕尚未發現肇事因素,逆向行駛∕逆向行駛∕逆向行駛,其他∕家庭主婦（夫）∕,上、下班∕其他∕,本國∕本國∕本國
10101,10101Y00020009,YZA1,10101YZ000016,2012,1,10,8,47,金門縣,金城鎮,,NA,環島西路,一,,NA,,,,,,官裡03585燈桿旁,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,0,晴,日間自然光線,村里道路,40,彎曲路及附近,一般車道（未劃分快慢車道）,柏油,乾燥,無缺陷,無障礙物,良好,無號誌,無號誌,附標記,未繪設車道線,未繪設快慢車道分隔線,有,對向擦撞,違規超車,Y000,YZ00,1,2,2012/1/10,環島西路一段,,金門縣金城鎮官裡03585燈桿旁,118.3184801,24.4172073,自用 大貨車∕普通重型 機車∕,大貨車自用∕機車普通重型∕,46∕35∕,未受傷∕受傷∕,VQ***5代號42∕YK****0代號43∕,其他∕其他∕,有適當之駕照∕有適當之駕照∕,經檢測無酒精反應∕經檢測無酒精反應∕,汽車左前車頭（身）∕機車前車頭∕,違規超車∕尚未發現肇事因素∕,違規超車∕違規超車∕,其他∕其他∕,其他∕其他∕,本國∕本國∕
