處理編號,車種1,車種2,車種3,車種4,車種5,車種6,車種7,當事者區分.類別.1,當事者區分.類別.2,當事者區分.類別.3,當事者區分.類別.4,當事者區分.類別.5,當事者區分.類別.6,當事者區分.類別.7,年齡1,年齡2,年齡3,年齡4,年齡5,年齡6,年齡7,受傷程度1,受傷程度2,受傷程度3,受傷程度4,受傷程度5,受傷程度6,受傷程度7,車輛牌照號碼1,車輛牌照號碼2,車輛牌照號碼3,車輛牌照號碼4,車輛牌照號碼5,車輛牌照號碼6,車輛牌照號碼7,車輛用途1,車輛用途2,車輛用途3,車輛用途4,車輛用途5,車輛用途6,車輛用途7,駕駛資格情形1,駕駛資格情形2,駕駛資格情形3,駕駛資格情形4,駕駛資格情形5,駕駛資格情形6,駕駛資格情形7,飲酒情形1,飲酒情形2,飲酒情形3,飲酒情形4,飲酒情形5,飲酒情形6,飲酒情形7,車輛撞擊部位最初1,車輛撞擊部位最初2,車輛撞擊部位最初3,車輛撞擊部位最初4,車輛撞擊部位最初5,車輛撞擊部位最初6,車輛撞擊部位最初7,肇事因素個別1,肇事因素個別2,肇事因素個別3,肇事因素個別4,肇事因素個別5,肇事因素個別6,肇事因素個別7,肇事因素主要1,肇事因素主要2,肇事因素主要3,肇事因素主要4,肇事因素主要5,肇事因素主要6,肇事因素主要7,職.業1,職.業2,職.業3,職.業4,職.業5,職.業6,職.業7,旅次目的1,旅次目的2,旅次目的3,旅次目的4,旅次目的5,旅次目的6,旅次目的7,國籍1,國籍2,國籍3,國籍4,國籍5,國籍6,國籍7
10101YY000028,自用 小貨車(含客、貨兩用), ,,,,,,小貨車自用,,,,,,,27,0,,,,,,未受傷,,,,,,,K4****6代號18,,,,,,,其他,,,,,,,有適當之駕照,,,,,,,經呼氣檢測0.56至0.80mg∕L或血液檢測0.111至0.16,,,,,,,汽車右前車頭（身）,,,,,,,酒醉（後）駕駛失控,尚未發現肇事因素,,,,,,酒醉（後）駕駛失控,酒醉（後）駕駛失控,,,,,,保安工作者（不含警察人員）,,,,,,,其他,,,,,,,本國,本國,,,,,
10101YY000030,行人 人,自用 小客車,,,,,,行人,小客車自用,,,,,,10,32,,,,,,受傷,未受傷,,,,,,,09****2代號19,,,,,,非駕駛人及乘客,其他,,,,,,非汽（機）車駕駛人,有適當之駕照,,,,,,經觀察未飲酒,經檢測無酒精反應,,,,,,非汽（機）車,汽車前車頭,,,,,,穿越道路未注意左右來車,未注意車前狀態,,,,,,穿越道路未注意左右來車,穿越道路未注意左右來車,,,,,,小學生,技術員及助理人員,,,,,,其他,業務聯繫,,,,,,本國,本國,,,,,
10101YY000031,普通重型 機車, ,,,,,,機車普通重型,,,,,,,25,0,,,,,,受傷,,,,,,,22****E代號20,,,,,,,其他,,,,,,,有適當之駕照,,,,,,,經檢測無酒精反應,,,,,,,機車右側車身,,,,,,,未依規定減速,尚未發現肇事因素,,,,,,未依規定減速,未依規定減速,,,,,,服務工作者,,,,,,,其他,,,,,,,本國,本國,,,,,
10101YY000034,自用 小客車,普通重型 機車,,,,,,小客車自用,機車普通重型,,,,,,33,20,,,,,,未受傷,受傷,,,,,,MP****8代號21,31****U代號22,,,,,,其他,其他,,,,,,有適當之駕照,有適當之駕照,,,,,,經檢測無酒精反應,經檢測無酒精反應,,,,,,不明,機車左側車身,,,,,,倒車未依規定,未注意車前狀態,,,,,,倒車未依規定,倒車未依規定,,,,,,技術工,服務工作者,,,,,,社交活動,運輸,,,,,,本國,本國,,,,,
10101YY000035,自用 小客車,自用 小客車,,,,,,小客車自用,小客車自用,,,,,,48,55,,,,,,未受傷,未受傷,,,,,,6F****5代號23,6F****6代號24,,,,,,其他,其他,,,,,,有適當之駕照,有適當之駕照,,,,,,經檢測無酒精反應,經檢測無酒精反應,,,,,,汽車左前車頭（身）,汽車前車頭,,,,,,未依規定讓車,未依規定減速,,,,,,未依規定讓車,未依規定讓車,,,,,,事務工作者,事務工作者,,,,,,購物,購物,,,,,,本國,本國,,,,,
10101YY000037,自用 小客車,普通重型 機車,,,,,,小客車自用,機車普通重型,,,,,,21,61,,,,,,未受傷,受傷,,,,,,6F****2代號25,PZ****2代號26,,,,,,其他,其他,,,,,,有適當之駕照,有適當之駕照,,,,,,經檢測無酒精反應,經檢測無酒精反應,,,,,,汽車左側車身,機車前車頭,,,,,,未依規定讓車,尚未發現肇事因素,,,,,,未依規定讓車,未依規定讓車,,,,,,大學（研究）生,無業者,,,,,,觀光旅遊,其他,,,,,,本國,本國,
10101YY000038,自用 小貨車(含客、貨兩用),普通重型 機車,,,,,,小貨車自用,機車普通重型,,,,,,58,20,,,,,,未受傷,受傷,,,,,,6F****0代號27,55****V代號28,,,,,,其他,其他,,,,,,有適當之駕照,有適當之駕照,,,,,,經檢測無酒精反應,經檢測無酒精反應,,,,,,汽車右側車身,機車左側車身,,,,,,未保持行車安全間隔,尚未發現肇事因素,,,,,,未保持行車安全間隔,未保持行車安全間隔,,,,,,服務工作者,其他,,,,,,其他,其他,,,,,,本國,本國,
10101YY000039,其他人 人,普通重型 機車,,,,,,其他人,機車普通重型,,,,,,56,21,,,,,,受傷,受傷,,,,,,,96****U代號29,,,,,,非駕駛人及乘客,其他,,,,,,非汽（機）車駕駛人,有適當之駕照,,,,,,經檢測無酒精反應,經檢測無酒精反應,,,,,,非汽（機）車,機車前車頭,,,,,,未依規定行走行人穿越道、地下道、天橋而穿越道路,未注意車前狀態,,,,,,未依規定行走行人穿越道、地下道、天橋而穿越道路,未依規定行走行人穿越道、地下道、天橋而穿越道路,,,,,,家庭主婦（夫）,不明,,,,,,其他,其他,,,,,,本國,本國,
10101YY000040,計程車 小客車,普通重型 機車,,,,,,小客車計程車,機車普通重型,,,,,,47,63,,,,,,未受傷,受傷,,,,,,56***Q代號30,PZ****3代號31,,,,,,其他,其他,,,,,,有適當之駕照,有適當之駕照,,,,,,經檢測無酒精反應,經檢測無酒精反應,,,,,,汽車右前車頭（身）,機車左側車身,,,,,,未依規定讓車,未依規定減速,,,,,,未依規定讓車,未依規定讓車,,,,,,汽車、火車駕駛員及船員,其他,,,,,,運輸,其他,,,,,,本國,本國,
10101YZ000002,自用 小貨車(含客、貨兩用),自用 小貨車(含客、貨兩用),,,,,,小貨車自用,小貨車自用,,,,,,30,22,,,,,,未受傷,未受傷,,,,,,6F****6代號32,43****P代號33,,,,,,其他,其他,,,,,,有適當之駕照,有適當之駕照,,,,,,經檢測無酒精反應,經檢測無酒精反應,,,,,,汽車左側車身,汽車前車頭,,,,,,未依規定讓車,超速失控,,,,,,未依規定讓車,未依規定讓車,,,,,,技術工,服務工作者,,,,,,運輸,運輸,,,,,,本國,本國,
10101YZ000005,自用 小客車,行人 人,,,,,,小客車自用,行人,,,,,,50,54,,,,,,未受傷,受傷,,,,,,6F****7代號34,,,,,,,其他,非駕駛人及乘客,,,,,,有適當之駕照,非汽（機）車駕駛人,,,,,,經檢測無酒精反應,非駕駛人，未檢測,,,,,,汽車前車頭,非汽（機）車,,,,,,搶越行人穿越道,其他引起事故之疏失或行為,,,,,,搶越行人穿越道,搶越行人穿越道,,,,,,不明,不明,,,,,,其他,其他,,,,,,本國,本國,
10101YZ000007,自用 小貨車(含客、貨兩用),行人 人,,,,,,小貨車自用,行人,,,,,,61,13,,,,,,未受傷,受傷,,,,,,24****S代號35,,,,,,,其他,非駕駛人及乘客,,,,,,有適當之駕照,非汽（機）車駕駛人,,,,,,經檢測無酒精反應,非駕駛人，未檢測,,,,,,汽車右前車頭（身）,非汽（機）車,,,,,,未依規定減速,穿越道路未注意左右來車,,,,,,未依規定減速,未依規定減速,,,,,,技術員及助理人員,國中生,,,,,,業務聯繫,上、下學,,,,,,本國,本國,
10101YZ000011,自用 小客車,自用 小客車,,,,,,小客車自用,小客車自用,,,,,,37,44,,,,,,未受傷,未受傷,,,,,,29****S代號36,5A****6代號37,,,,,,其他,其他,,,,,,有適當之駕照,有適當之駕照,,,,,,經檢測無酒精反應,不明,,,,,,汽車前車頭,汽車後車尾,,,,,,未注意車前狀態,違規停車或暫停不當而肇事,,,,,,未注意車前狀態,未注意車前狀態,,,,,,技術工,其他,,,,,,其他,其他,,,,,,本國,本國,
10101YZ000012,自用 小貨車(含客、貨兩用), ,,,,,,小貨車自用,,,,,,,55,0,,,,,,受傷,,,,,,,6F****2代號38,,,,,,,其他,,,,,,,有適當之駕照,,,,,,,經呼氣檢測超過0.80mg∕L或血液檢測超過0.16,,,,,,,汽車前車頭,,,,,,,酒醉（後）駕駛失控,尚未發現肇事因素,,,,,,酒醉（後）駕駛失控,酒醉（後）駕駛失控,,,,,,不明,,,,,,,不明,,,,,,,本國,本國,
10101YZ000013,普通輕型 機車, ,,,,,,機車普通輕型,,,,,,,17,73,,,,,,受傷,,,,,,,WZ****1代號39,,,,,,,其他,,,,,,,無照（未達考照年齡）,,,,,,,不明,,,,,,,機車前車頭,,,,,,,其他引起事故之違規或不當行為,尚未發現肇事因素,,,,,,其他引起事故之違規或不當行為,其他引起事故之違規或不當行為,,,,,,其他,,,,,,,其他,,,,,,,本國,本國,
10101YZ000015,自用 小客車,自用 小客車, ,,,,,小客車自用,小客車自用,,,,,,64,47,47,,,,,受傷,未受傷,,,,,,KV****8代號40,6F****6代號41,,,,,,其他,其他,,,,,,有適當之駕照,有適當之駕照,,,,,,經檢測無酒精反應,經檢測無酒精反應,,,,,,汽車左前車頭（身）,汽車前車頭,,,,,,逆向行駛,尚未發現肇事因素,尚未發現肇事因素,,,,,逆向行駛,逆向行駛,逆向行駛,,,,,其他,家庭主婦（夫）,,,,,,上、下班,其他,,,,,,本國,本國,本國
10101YZ000016,自用 大貨車,普通重型 機車,,,,,,大貨車自用,機車普通重型,,,,,,46,35,,,,,,未受傷,受傷,,,,,,VQ***5代號42,YK****0代號43,,,,,,其他,其他,,,,,,有適當之駕照,有適當之駕照,,,,,,經檢測無酒精反應,經檢測無酒精反應,,,,,,汽車左前車頭（身）,機車前車頭,,,,,,違規超車,尚未發現肇事因素,,,,,,違規超車,違規超車,,,,,,其他,其他,,,,,,其他,其他,,,,,,本國,本國,
10101YZ000017,自用 小客車,普通重型 機車,,,,,,小客車自用,機車普通重型,,,,,,60,20,,,,,,未受傷,受傷,,,,,,6F****1代號44,23****C代號45,,,,,,其他,其他,,,,,,有適當之駕照,有適當之駕照,,,,,,經檢測無酒精反應,經檢測無酒精反應,,,,,,汽車前車頭,機車前車頭,,,,,,未依規定讓車,未依規定減速,,,,,,未依規定讓車,未依規定讓車,,,,,,其他,其他,,,,,,其他,其他,,,,,,本國,本國,
10101YZ000018,普通重型 機車,自用 小貨車(含客、貨兩用),,,,,,機車普通重型,小貨車自用,,,,,,62,38,,,,,,受傷,未受傷,,,,,,PZ****6代號46,6F****5代號47,,,,,,其他,其他,,,,,,有適當之駕照,有適當之駕照,,,,,,經檢測無酒精反應,經檢測無酒精反應,,,,,,機車前車頭,汽車右側車身,,,,,,未依規定讓車,未依規定減速,,,,,,未依規定讓車,未依規定讓車,,,,,,家庭主婦（夫）,服務工作者,,,,,,其他,其他,,,,,,本國,本國,
10101YZ000019,普通重型 機車,普通重型 機車,,,,,,機車普通重型,機車普通重型,,,,,,23,19,,,,,,未受傷,受傷,,,,,,62****Y代號48,PH****0代號49,,,,,,其他,其他,,,,,,有適當之駕照,有適當之駕照,,,,,,經檢測無酒精反應,經檢測無酒精反應,,,,,,機車後車尾,機車前車頭,,,,,,起步未注意其他車（人）安全,未注意車前狀態,,,,,,起步未注意其他車（人）安全,起步未注意其他車（人）安全,,,,,,大學（研究）生,大學（研究）生,,,,,,觀光旅遊,社交活動,,,,,,本國,本國,
10101YZ000020,腳踏自行車 慢車,自用 小貨車(含客、貨兩用),,,,,,腳踏自行車,小貨車自用,,,,,,74,48,,,,,,受傷,未受傷,,,,,,,6F****1代號50,,,,,,其他,其他,,,,,,非汽（機）車駕駛人,有適當之駕照,,,,,,經檢測無酒精反應,不明,,,,,,非汽（機）車,汽車右側車身,,,,,,其他引起事故之違規或不當行為,未保持行車安全間隔,,,,,,其他引起事故之違規或不當行為,其他引起事故之違規或不當行為,,,,,,無業者,技術工,,,,,,購物,上、下班,,,,,,本國,本國,
10101YZ000022,自用 小客車,自用 小客車,自用 小客車,,,,,小客車自用,小客車自用,小客車自用,,,,,25,48,35,,,,,,,,,,,,05****2代號51,WY****8代號52,6F****0代號53,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,本國,本國,本國
10101YZ000023, ,自用 小客車,,,,,,,小客車自用,,,,,,0,46,,,,,,不明,未受傷,,,,,,,6F****2代號54,,,,,,其他,其他,,,,,,不明,有適當之駕照,,,,,,不明,不明,,,,,,不明,汽車左後車尾（身）,,,,,,不明原因肇事,尚未發現肇事因素,,,,,,不明原因肇事,不明原因肇事,,,,,,不明,家庭主婦（夫）,,,,,,不明,其他,,,,,,本國,本國,
10101YZ000024,自用 小客車,普通重型 機車,,,,,,小客車自用,機車普通重型,,,,,,34,20,,,,,,未受傷,未受傷,,,,,,H2****5代號55,36****W代號56,,,,,,其他,其他,,,,,,有適當之駕照,有適當之駕照,,,,,,經檢測無酒精反應,經檢測無酒精反應,,,,,,汽車右前車頭（身）,機車右側車身,,,,,,未注意車前狀態,尚未發現肇事因素,,,,,,未注意車前狀態,未注意車前狀態,,,,,,服務工作者,大學（研究）生,,,,,,其他,上、下班,,,,,,本國,本國,
10101YZ000026,自用 小客車,普通重型 機車,乘客 人,,,,,小客車自用,機車普通重型,乘客,,,,,41,20,20,,,,,未受傷,未受傷,受傷,,,,,24****S代號57,G3****5代號58,G3****5代號58,,,,,其他,其他,其他,,,,,有適當之駕照,有適當之駕照,非汽（機）車駕駛人,,,,,經檢測無酒精反應,經檢測無酒精反應,非駕駛人，未檢測,,,,,汽車前車頭,機車右側車身,非汽（機）車,,,,,未依規定讓車,未依規定減速,尚未發現肇事因素,,,,,未依規定讓車,未依規定讓車,未依規定讓車,,,,,其他,大學（研究）生,大學（研究）生,,,,,其他,其他,其他,,,,,本國,本國,本國
10101YZ000027,普通重型 機車, ,乘客 人,,,,,機車普通重型,,乘客,,,,,19,0,21,,,,,受傷,,受傷,,,,,05****C代號59,,05****C代號59,,,,,其他,,其他,,,,,有適當之駕照,,非汽（機）車駕駛人,,,,,經檢測無酒精反應,,非駕駛人，未檢測,,,,,機車右側車身,,非汽（機）車,,,,,未注意車前狀態,尚未發現肇事因素,尚未發現肇事因素,,,,,未注意車前狀態,未注意車前狀態,未注意車前狀態,,,,,大學（研究）生,,大學（研究）生,,,,,其他,,其他,,,,,本國,本國,本國
10101YZ000029,自用 小客車,自用 小客車,,,,,,小客車自用,小客車自用,,,,,,31,34,,,,,,未受傷,未受傷,,,,,,6F****6代號60,LD****8代號61,,,,,,其他,其他,,,,,,有適當之駕照,有適當之駕照,,,,,,經檢測無酒精反應,經檢測無酒精反應,,,,,,汽車右前車頭（身）,汽車左前車頭（身）,,,,,,未依規定讓車,未依規定減速,,,,,,未依規定讓車,未依規定讓車,,,,,,事務工作者,技術工,,,,,,業務聯繫,其他,,,,,,本國,本國,
10101YZ000032,普通重型 機車,自用 小客車,,,,,,機車普通重型,小客車自用,,,,,,23,24,,,,,,受傷,未受傷,,,,,,98****J代號62,6F****2代號63,,,,,,其他,其他,,,,,,有適當之駕照,有適當之駕照,,,,,,經檢測無酒精反應,經檢測無酒精反應,,,,,,機車前車頭,汽車右後車尾（身）,,,,,,未注意車前狀態,尚未發現肇事因素,,,,,,未注意車前狀態,未注意車前狀態,,,,,,不明,不明,,,,,,其他,其他,,,,,,本國,本國,
10101YZ000033,公營公車 大客車,普通重型 機車,,,,,,公營公車,機車普通重型,,,,,,53,43,,,,,,受傷,受傷,,,,,,VU***2代號64,18****H代號65,,,,,,其他,其他,,,,,,有適當之駕照,有適當之駕照,,,,,,經檢測無酒精反應,不明,,,,,,不明,機車左側車身,,,,,,未依規定讓車,未依規定減速,,,,,,未依規定讓車,未依規定讓車,,,,,,服務工作者,技術工,,,,,,其他,其他,,,,,,本國,本國,
10101YZ000036,自用 小客車,自用 小客車,,,,,,小客車自用,小客車自用,,,,,,22,51,,,,,,未受傷,未受傷,,,,,,6F****9代號66,6F****3代號67,,,,,,其他,其他,,,,,,有適當之駕照,有適當之駕照,,,,,,經呼氣檢測0.56至0.80mg∕L或血液檢測0.111至0.16,經檢測無酒精反應,,,,,,汽車右後車尾（身）,汽車左前車頭（身）,,,,,,違規超車,尚未發現肇事因素,,,,,,違規超車,違規超車,,,,,,服務工作者,事務工作者,,,,,,其他,其他,,,,,,本國,本國,
10102YY000003,自用 小客車, ,,,,,,小客車自用,,,,,,,21,0,,,,,,受傷,,,,,,,39****6代號68,,,,,,,其他,,,,,,,無照（已達考照年齡）,,,,,,,不明,,,,,,,汽車前車頭,,,,,,,未依規定減速,尚未發現肇事因素,,,,,,未依規定減速,未依規定減速,,,,,,無業者,,,,,,,不明,,,,,,,本國,本國,
10102YY000005,普通重型 機車,自用 小客車,,,,,,機車普通重型,小客車自用,,,,,,19,27,,,,,,受傷,未受傷,,,,,,95****U代號69,26****Q代號70,,,,,,其他,其他,,,,,,有適當之駕照,有適當之駕照,,,,,,經檢測無酒精反應,經檢測無酒精反應,,,,,,機車前車頭,汽車右後車尾（身）,,,,,,違規超車,尚未發現肇事因素,,,,,,違規超車,違規超車,,,,,,其他,其他,,,,,,其他,其他,,,,,,本國,本國,
10102YY000009,普通重型 機車,自用 小客車,,,,,,機車普通重型,小客車自用,,,,,,17,51,,,,,,受傷,未受傷,,,,,,90****T代號71,WY****6代號72,,,,,,其他,其他,,,,,,無照（未達考照年齡）,有適當之駕照,,,,,,經檢測無酒精反應,經檢測無酒精反應,,,,,,機車前車頭,汽車左後車尾（身）,,,,,,未保持行車安全距離,尚未發現肇事因素,,,,,,未保持行車安全距離,未保持行車安全距離,,,,,,其他,其他,,,,,,其他,其他,,,,,,本國,本國,
10102YY000011,自用 小客車,普通重型 機車,,,,,,小客車自用,機車普通重型,,,,,,58,70,,,,,,未受傷,受傷,,,,,,WY****8代號73,3J****3代號74,,,,,,其他,其他,,,,,,有適當之駕照,有適當之駕照,,,,,,經觀察未飲酒,經檢測無酒精反應,,,,,,不明,機車左側車身,,,,,,未依規定讓車,未依規定減速,,,,,,未依規定讓車,未依規定讓車,,,,,,技術員及助理人員,無業者,,,,,,其他,其他,,,,,,本國,本國,
10102YY000016,普通重型 機車,自用 小客車,,,,,,機車普通重型,小客車自用,,,,,,26,38,,,,,,受傷,未受傷,,,,,,12****K代號75,WY****8代號76,,,,,,其他,其他,,,,,,有適當之駕照,有適當之駕照,,,,,,經檢測無酒精反應,經檢測無酒精反應,,,,,,機車前車頭,不明,,,,,,未保持行車安全距離,尚未發現肇事因素,,,,,,未保持行車安全距離,未保持行車安全距離,,,,,,技術員及助理人員,技術員及助理人員,,,,,,上、下班,其他,,,,,,本國,本國,
10102YY000017,自用 小貨車(含客、貨兩用),普通重型 機車,,,,,,小貨車自用,機車普通重型,,,,,,51,46,,,,,,未受傷,受傷,,,,,,6F****1代號77,11****D代號78,,,,,,其他,其他,,,,,,有適當之駕照,有適當之駕照,,,,,,經檢測無酒精反應,經檢測無酒精反應,,,,,,汽車右側車身,機車前車頭,,,,,,未依規定讓車,未依規定減速,,,,,,未依規定讓車,未依規定讓車,,,,,,汽車、火車駕駛員及船員,其他,,,,,,上、下班,上、下班,,,,,,本國,本國,
10102YY000020,普通輕型 機車,自用 大貨車,自用 大貨車,,,,,機車普通輕型,大貨車自用,大貨車自用,,,,,37,55,48,,,,,受傷,未受傷,未受傷,,,,,11****U代號79,VZ***0代號80,04***J代號81,,,,,其他,其他,砂石車,,,,,有適當之駕照,有適當之駕照,有適當之駕照,,,,,不明,經檢測無酒精反應,不明,,,,,機車左側車身,汽車右側車身,不明,,,,,違規超車,尚未發現肇事因素,尚未發現肇事因素,,,,,違規超車,違規超車,違規超車,,,,,其他,汽車、火車駕駛員及船員,汽車、火車駕駛員及船員,,,,,其他,運輸,運輸,,,,,本國,本國,本國
10102YY000025,普通重型 機車,自用 小客車,,,,,,機車普通重型,小客車自用,,,,,,19,59,,,,,,受傷,受傷,,,,,,21****D代號82,WY****5代號83,,,,,,其他,其他,,,,,,有適當之駕照,有適當之駕照,,,,,,經檢測無酒精反應,經檢測無酒精反應,,,,,,機車前車頭,汽車左前車頭（身）,,,,,,違規超車,尚未發現肇事因素,,,,,,違規超車,違規超車,,,,,,大學（研究）生,服務工作者,,,,,,購物,購物,,,,,,本國,本國,
10102YY000026,自用 小客車,大型重型1(550C.C.以上) 機車,,,,,,小客車自用,機車大型重型1（550C.C.以上）,,,,,,45,38,,,,,,未受傷,受傷,,,,,,6F****6代號84,FJ**8代號85,,,,,,其他,其他,,,,,,有適當之駕照,有適當之駕照,,,,,,經檢測無酒精反應,經檢測無酒精反應,,,,,,汽車左後車尾（身）,機車右側車身,,,,,,變換車道或方向不當,未注意車前狀態,,,,,,變換車道或方向不當,變換車道或方向不當,,,,,,家庭主婦（夫）,技術員及助理人員,,,,,,其他,其他,,,,,,本國,本國,
